code,coords
"""B14""=>""30""","48.8903, 7.6785"
"""EB10""=>NULL","48.3390, 7.6236"
"""EB10""=>NULL","49.5528, 4.3482"
"""EB20""=>NULL","48.8448, 7.2151"
"""B14""=>""30""","48.9123, 7.3143"
"""EB20""=>NULL","49.2462, 5.7657"
"""B14""=>""30"", ""M9z""=>""rappel""","48.6947, 6.1521"
"""B14""=>""50"", ""M9z""=>""rappel""","48.8879, 7.6718"
"""B14""=>""70""","48.7748, 6.0537"
"""C107""=>NULL","48.5041, 7.2763"
"""B14""=>""30"", ""M9z""=>""rappel""","48.6949, 6.1513"
"""EB20""=>NULL","48.7990, 7.4521"
"""B14""=>""70"", ""M9z""=>""rappel""","49.3064, 6.2559"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7524, 6.1465"
"""B14""=>""90""","48.5041, 7.2763"
"""B14""=>""70""","48.0417, 6.3906"
"""EB20""=>NULL","48.8170, 7.5242"
"""B33""=>""30""","49.6323, 4.9738"
"""B14""=>""30""","48.4787, 7.4480"
"""B14""=>""110""","48.4192, 7.6378"
"""EB10""=>NULL","48.6387, 7.5768"
"""EB10""=>NULL","49.1409, 5.2557"
"""B14""=>""40""","48.6387, 7.5768"
"""B14""=>""30""","48.6353, 7.5104"
"""B14""=>""30""","48.2712, 7.2833"
"""B14""=>""30""","48.9994, 6.3163"
"""B14""=>""70"", ""M9z""=>""rappel""","49.0508, 7.5978"
"""EB10""=>NULL","48.8159, 6.5010"
"""EB10""=>NULL","48.3529, 4.9133"
"""B14""=>""70""","48.6300, 7.0022"
"""B14""=>""70""","47.8560, 7.0543"
"""EB10""=>NULL","48.5229, 7.2980"
"""B14""=>""30""","49.1364, 6.9979"
"""EB10""=>NULL","48.0044, 3.9006"
"""B14""=>""70""","47.8183, 5.2239"
"""B14""=>""50"", ""M9z""=>""rappel""","48.2718, 7.4249"
"""C108""=>NULL","48.0060, 7.2983"
"""C108""=>NULL","48.4997, 7.7323"
"""B33""=>""30""","49.3464, 6.0636"
"""B14""=>""30""","48.1651, 3.9594"
"""B14""=>""30"", ""M9z""=>""rappel""","48.5657, 7.7731"
"""B14""=>""50"", ""M9z""=>""rappel""","48.5974, 7.7510"
"""B14""=>""30""","49.0427, 7.3856"
"""EB20""=>NULL","48.6745, 6.9613"
"""EB10""=>NULL","48.1649, 3.9691"
"""EB20""=>NULL","48.6659, 7.0034"
"""B14""=>""30""","48.3190, 4.2464"
"""EB10""=>NULL","48.7836, 6.7574"
"""EB20""=>NULL","48.7836, 6.7573"
"""B33""=>""30""","48.1738, 6.4561"
"""EB20""=>""AGGLO""","48.0417, 6.3906"
"""EB10""=>NULL","48.2336, 5.7131"
"""EB10""=>NULL","48.8443, 4.3423"
"""EB10""=>NULL","48.2439, 4.8975"
"""EB20""=>NULL","48.3247, 5.0665"
"""B33""=>""30""","49.1065, 6.9767"
"""EB20""=>NULL","47.9108, 5.7047"
"""EB20""=>NULL","49.1042, 6.9649"
"""EB20""=>NULL","49.1684, 5.7247"
"""B14""=>""30"", ""M9z""=>""rappel""","49.1058, 6.9574"
"""B14""=>""30""","49.1769, 5.3789"
"""EB10""=>NULL","47.8340, 5.6711"
"""EB20""=>NULL","47.8754, 7.2169"
"""EB10""=>NULL","47.9484, 7.3873"
"""B14""=>""30""","47.8587, 7.3397"
"""B33""=>""70""","47.5489, 7.4213"
"""EB20""=>NULL","49.0868, 6.7217"
"""B14""=>""30""","49.0992, 5.9949"
"""B14""=>""30""","49.3241, 6.1799"
"""EB10""=>NULL","47.5391, 7.2609"
"""B14""=>""30""","49.1628, 6.9262"
"""EB20""=>NULL","47.5400, 7.2801"
"""B14""=>""70""","48.6573, 5.9023"
"""B14""=>""50"", ""M9z""=>""rappel""","48.0908, 7.3080"
"""B14""=>""30""","47.4575, 7.2344"
"""EB10""=>NULL","47.5460, 7.4372"
"""EB10""=>NULL","47.6189, 7.2229"
"""B14""=>""50""","48.2605, 4.2951"
"""B14""=>""70""","47.6339, 7.5023"
"""B14""=>""30""","48.1946, 5.0869"
"""EB10""=>NULL","48.1652, 6.3673"
"""B14""=>""70""","48.9101, 3.7739"
"""EB10""=>NULL","48.1881, 7.4108"
"""B14""=>""70""","48.7331, 7.0824"
"""EB20""=>NULL","48.7331, 7.0824"
"""B14""=>""30""","47.9396, 7.4635"
"""B14""=>""50""","47.7360, 7.0476"
"""B14""=>""90""","49.2065, 6.1484"
"""B14""=>""70""","48.8822, 6.0973"
"""EB10""=>NULL","48.8602, 6.9279"
"""B14""=>""30""","48.1121, 7.2079"
"""C207""=>NULL","47.7931, 7.3953"
"""B14""=>""30"", ""M4f""=>""3.5T""","47.8617, 5.1835"
"""EB20""=>NULL","47.7320, 7.0645"
"""B14""=>""30""","48.1267, 7.1671"
"""EB10""=>NULL","48.1105, 6.0095"
"""EB20""=>NULL","48.1911, 6.7175"
"""B14""=>""70""","48.1911, 6.7175"
"""B14""=>""30""","48.1926, 6.7086"
"""EB20""=>NULL","47.8574, 6.8101"
"""EB20""=>NULL","48.1926, 6.7086"
"""B14""=>""70""","47.9523, 6.8167"
"""EB10""=>NULL","48.9811, 4.0286"
"""B14""=>""110""","48.2190, 7.4042"
"""EB10""=>NULL","48.1926, 6.7087"
"""B14""=>""30""","48.1927, 6.7087"
"""B14""=>""30""","48.3015, 5.1460"
"""B14""=>""30""","48.3031, 5.1439"
"""B14""=>""30""","48.9947, 7.3823"
"""B14""=>""30""","48.3001, 5.1473"
"""B14""=>""30""","48.1173, 5.1542"
"""B14""=>""110""","49.4531, 4.2998"
"""B14""=>""90"", ""M3a""=>""1""","49.2047, 4.0909"
"""C207""=>NULL","48.7710, 7.5995"
"""B14""=>""30""","48.0080, 6.7166"
"""B14""=>""50""","47.7887, 5.5870"
"""B14""=>""50""","47.7961, 5.5654"
"""B14""=>""50""","48.2903, 4.0869"
"""B14""=>""110""","49.4531, 4.2997"
"""B14""=>""70""","47.7338, 5.3589"
"""EB10""=>NULL","48.3501, 6.1627"
"""B14""=>""50""","47.7932, 5.5738"
"""EB20""=>NULL","47.7348, 7.0498"
"""B33""=>""30""","48.3467, 4.5448"
"""B14""=>""90""","48.6896, 4.7201"
"""B14""=>""30""","47.7341, 7.0558"
"""B14""=>""50""","47.7873, 5.5903"
"""EB20""=>NULL","48.9493, 6.8754"
"""B14""=>""30""","48.6467, 6.1425"
"""B33""=>""30""","49.4895, 5.9274"
"""EB10""=>""AGGLO""","47.7349, 7.0499"
"""EB10""=>NULL","48.0127, 7.3808"
"""M1""=>""100 m"", ""B14""=>""50""","48.8120, 6.7040"
"""EB20""=>NULL","47.9425, 7.4543"
"""EB10""=>NULL","47.7320, 7.0645"
"""B14""=>""30""","47.6740, 7.2232"
"""EB10""=>""AGGLO""","47.7320, 7.0645"
"""EB10""=>NULL","47.6741, 7.2231"
"""EB10""=>NULL","48.3687, 5.6944"
"""EB20""=>NULL","47.7612, 7.3490"
"""EB10""=>NULL","47.7612, 7.3490"
"""EB10""=>""AGGLO""","47.7348, 7.0498"
"""EB20""=>NULL","47.7349, 7.0499"
"""EB10""=>NULL","47.7348, 7.0498"
"""B14""=>""80""","48.1677, 7.0304"
"""EB20""=>NULL","48.3461, 6.4371"
"""B14""=>""40"", ""M4f""=>""3.5T""","47.6243, 7.1136"
"""EB20""=>NULL","48.2645, 6.4390"
"""B14""=>""30""","48.1941, 6.4539"
"""B14""=>""70""","48.6469, 6.4496"
"""EB10""=>NULL","47.6243, 7.1136"
"""B14""=>""80""","48.2561, 7.2167"
"""B14""=>""30""","48.3682, 5.7034"
"""B33""=>""50""","48.8582, 6.9161"
"""B14""=>""30""","47.8662, 5.3299"
"""B14""=>""90""","48.5973, 7.6151"
"""EB10""=>NULL","48.0874, 6.7331"
"""EB20""=>NULL","48.1677, 6.3673"
"""B14""=>""70""","48.7955, 6.6051"
"""B14""=>""30""","48.0520, 4.9131"
"""EB10""=>""AGGLO""","48.2943, 5.5237"
"""EB10""=>NULL","48.1678, 6.3674"
"""B14""=>""90""","49.5543, 5.1521"
"""EB20""=>NULL","49.4277, 4.1561"
"""EB20""=>NULL","49.4895, 5.9274"
"""EB10""=>NULL","49.0431, 4.0466"
"""B14""=>""70""","48.0537, 4.9636"
"""B33""=>""30""","49.1826, 5.9987"
"""EB10""=>NULL","48.3464, 4.5501"
"""B14""=>""80""","48.0163, 6.6151"
"""B14""=>""50""","48.1120, 4.7852"
"""EB20""=>NULL","48.0648, 6.7234"
"""EB10""=>NULL","49.0684, 6.8387"
"""B14""=>""50""","48.3096, 5.1368"
"""EB20""=>NULL","49.0687, 6.8918"
"""EB20""=>NULL","49.0692, 6.8786"
"""C207""=>NULL","48.1163, 4.7875"
"""B14""=>""110""","49.0770, 6.6132"
"""EB10""=>NULL","49.0704, 6.3069"
"""EB10""=>NULL","48.9877, 7.3822"
"""B14""=>""30""","48.3666, 5.1495"
"""EB20""=>NULL","49.1338, 6.3180"
"""B14""=>""30""","49.0900, 7.1120"
"""B14""=>""90"", ""M9z""=>""rappel""","48.1906, 4.9581"
"""EB10""=>NULL","49.0691, 6.8785"
"""B14""=>""70""","48.5471, 7.6295"
"""B14""=>""70"", ""M3a""=>""droite""","48.6525, 6.9258"
"""B14""=>""80""","48.6497, 6.9225"
"""EB10""=>NULL","49.1353, 6.3179"
"""EB20""=>NULL","48.1252, 4.7902"
"""EB10""=>NULL","48.6689, 7.6080"
"""EB10""=>NULL","49.0518, 6.0602"
"""B14""=>""30""","48.9580, 6.8048"
"""B33""=>""50""","49.4472, 6.1273"
"""EB10""=>NULL","48.1736, 4.4293"
"""B14""=>""90""","48.5479, 7.6334"
"""B14""=>""30""","48.1966, 6.4543"
"""EB10""=>NULL","48.4507, 6.4289"
"""B14""=>""90""","48.5519, 7.6492"
"""C108""=>NULL","48.5515, 7.6474"
"""B14""=>""70""","47.7069, 7.3494"
"""B14""=>""90""","48.3621, 5.1608"
"""EB20""=>NULL","49.8698, 4.4243"
"""EB20""=>NULL","48.3621, 5.1608"
"""EB10""=>NULL","48.5004, 4.9601"
"""EB20""=>NULL","48.6713, 7.1697"
"""B14""=>""30"", ""M4f""=>""3.5T""","47.6640, 7.4998"
"""EB20""=>NULL","48.1398, 7.4862"
"""EB10""=>NULL","48.1398, 7.4864"
"""B14""=>""50""","49.1434, 6.3830"
"""EB10""=>NULL","47.6640, 7.4998"
"""B14""=>""90"", ""M3a""=>""1""","49.4006, 6.1117"
"""B14""=>""110""","49.0370, 6.1180"
"""B14""=>""90""","48.5738, 6.1751"
"""B14""=>""50"", ""M9z""=>""rappel""","48.8903, 6.3860"
"""B14""=>""50""","48.7736, 7.2413"
"""C107""=>NULL","49.0371, 6.1188"
"""B14""=>""30""","47.9116, 7.5415"
"""EB10""=>NULL","49.1749, 6.8815"
"""B14""=>""110""","49.4626, 5.8526"
"""B14""=>""110""","49.4625, 5.8525"
"""B14""=>""70"", ""M4g""=>NULL","49.3629, 6.1174"
"""EB20""=>NULL","48.1359, 7.2820"
"""EB20""=>NULL","47.7120, 5.4974"
"""B14""=>""30""","48.3010, 5.2656"
"""B14""=>""50"", ""M9z""=>""rappel""","48.3040, 5.2568"
"""B14""=>""50"", ""M9z""=>""rappel""","48.2480, 4.1011"
"""EB20""=>NULL","47.9396, 4.2594"
"""B14""=>""50""","49.3314, 5.9163"
"""B14""=>""50""","49.1964, 6.1430"
"""B14""=>""90"", ""M3a""=>""1""","48.0216, 6.5692"
"""B14""=>""90""","49.1195, 6.1603"
"""B14""=>""30""","49.1616, 5.3891"
"""EB10""=>NULL","47.8283, 5.7454"
"""B14""=>""90""","49.4780, 5.3859"
"""EB10""=>NULL","48.2460, 5.3272"
"""B14""=>""70"", ""M3a""=>""1""","49.3541, 4.2054"
"""B14""=>""70""","49.1968, 6.9400"
"""B14""=>""50""","48.6904, 6.0184"
"""B14""=>""30""","48.2992, 5.4964"
"""B14""=>""50""","48.1077, 5.1552"
"""B14""=>""30""","48.6803, 6.1528"
"""B14""=>""50"", ""M9z""=>""rappel""","48.2312, 4.1129"
"""B31""=>NULL","49.1961, 6.9399"
"""B14""=>""30""","48.6800, 6.1511"
"""B14""=>""90""","48.9579, 7.6269"
"""EB10""=>NULL","47.5476, 7.3250"
"""B14""=>""90"", ""M3a""=>""1""","49.2464, 4.0815"
"""B14""=>""50"", ""M9z""=>""rappel""","49.2243, 4.0670"
"""B33""=>""30""","48.6685, 5.8822"
"""EB20""=>NULL","49.0995, 7.0568"
"""EB20""=>NULL","49.3315, 5.8311"
"""B14""=>""90"", ""M9z""=>""rappel""","48.1725, 5.5513"
"""B14""=>""70""","48.9668, 7.5843"
"""B14""=>""50"", ""M9z""=>""rappel""","48.6707, 5.8888"
"""EB10""=>NULL","49.3314, 5.8311"
"""B14""=>""50""","49.8389, 4.5465"
"""B14""=>""90""","49.1660, 5.0580"
"""B14""=>""30""","49.1524, 5.3970"
"""EB20""=>NULL","47.9885, 6.7608"
"""B14""=>""110""","48.7494, 7.1385"
"""C207""=>NULL","49.3056, 6.1254"
"""EB20""=>NULL","48.2405, 5.6103"
"""EB20""=>NULL","47.9354, 3.9079"
"""B14""=>""110""","48.6537, 7.7363"
"""EB10""=>NULL","48.4136, 3.4893"
"""EB10""=>NULL","49.2907, 5.8453"
"""EB20""=>NULL","49.2962, 6.5623"
"""EB20""=>NULL","48.0905, 4.1096"
"""EB20""=>NULL","49.1676, 5.8817"
"""EB20""=>NULL","48.3596, 3.6981"
"""EB10""=>NULL","48.3595, 3.6980"
"""B31""=>NULL","47.9518, 5.7544"
"""EB10""=>NULL","49.3236, 5.9454"
"""B14""=>""70"", ""M3a""=>""1""","49.2817, 3.8319"
"""EB20""=>NULL","48.1637, 5.1393"
"""B14""=>""70""","49.1604, 6.9179"
"""B14""=>""30""","48.5300, 6.0632"
"""B14""=>""50""","47.6159, 7.0305"
"""B14""=>""50""","48.1786, 4.4417"
"""B14""=>""30"", ""M4f""=>""7,5t""","48.5004, 4.9601"
"""B14""=>""50"", ""M9z""=>""rappel""","49.3872, 5.7555"
"""B14""=>""70""","49.1338, 6.7099"
"""B14""=>""90""","48.1637, 5.1393"
"""B14""=>""50""","48.3352, 5.1312"
"""B14""=>""30""","49.0608, 6.5478"
"""EB20""=>NULL","49.4082, 4.4884"
"""C107""=>NULL","48.7183, 7.3733"
"""EB10""=>NULL","49.3790, 4.0380"
"""B14""=>""50""","48.5558, 7.7953"
"""B33""=>""30""","48.8543, 5.4975"
"""B14""=>""70""","48.8525, 8.0583"
"""B14""=>""70""","47.9730, 5.4962"
"""EB10""=>NULL","48.4252, 7.6991"
"""B14""=>""30"", ""M4f""=>""3.5T"", ""M4g""=>NULL","48.4252, 7.6991"
"""B14""=>""30""","49.0567, 6.1458"
"""M1""=>""150 m"", ""B14""=>""50""","48.3416, 5.1869"
"""B14""=>""40""","49.0293, 7.9465"
"""B14""=>""20""","48.2783, 5.1014"
"""EB20""=>NULL","47.6894, 7.1988"
"""EB10""=>NULL","49.3082, 6.2624"
"""B14""=>""70""","49.4406, 6.0425"
"""B14""=>""110"", ""M9z""=>""rappel""","49.3109, 4.1458"
"""B14""=>""70""","47.8143, 7.1954"
"""B14""=>""45""","49.3082, 6.2624"
"""B14""=>""30""","47.9759, 7.1962"
"""B14""=>""90"", ""M9z""=>""rappel""","48.5279, 7.6888"
"""B14""=>""30""","49.1092, 6.0278"
"""EB10""=>NULL","47.4740, 7.3607"
"""B14""=>""30"", ""M9z""=>""rappel""","48.2992, 5.1448"
"""EB10""=>NULL","48.4069, 5.6801"
"""B14""=>""90""","48.3888, 4.9180"
"""EB10""=>NULL","48.5989, 6.1046"
"""B14""=>""110"", ""M9z""=>""rappel""","49.3108, 4.1459"
"""EB10""=>NULL","48.8675, 6.4309"
"""B31""=>NULL","48.4307, 5.6711"
"""B14""=>""70""","49.0470, 7.4485"
"""B14""=>""50""","48.1908, 6.4159"
"""EB20""=>NULL","48.0570, 4.0510"
"""B33""=>""30""","48.6790, 7.8554"
"""B14""=>""30""","47.7971, 5.4345"
"""C207""=>NULL","48.5938, 7.7435"
"""B14""=>""30""","49.9304, 4.6487"
"""B14""=>""30"", ""M9z""=>""rappel""","48.7005, 6.1765"
"""B14""=>""30""","48.1247, 4.4585"
"""B14""=>""30""","48.6909, 5.9594"
"""B14""=>""50"", ""M9z""=>""rappel""","47.5499, 7.3322"
"""EB10""=>NULL","48.1474, 6.9197"
"""EB10""=>NULL","49.2758, 6.6297"
"""EB10""=>NULL","49.1755, 6.9214"
"""C207""=>NULL","48.5940, 7.7433"
"""B14""=>""90"", ""M9z""=>""rappel""","48.7436, 4.6752"
"""EB10""=>NULL","48.0008, 7.0748"
"""EB10""=>NULL","48.1112, 7.4118"
"""M1""=>""100 m"", ""B14""=>""50""","48.7144, 6.2407"
"""EB10""=>NULL","48.7415, 4.6235"
"""B14""=>""50""","48.4607, 6.9479"
"""EB20""=>NULL","47.6524, 7.2646"
"""B14""=>""40""","48.6790, 7.8554"
"""EB10""=>NULL","48.7463, 4.6942"
"""B14""=>""70""","48.9164, 6.0375"
"""EB20""=>NULL","48.3173, 5.2103"
"""B14""=>""50""","49.2359, 5.7787"
"""B14""=>""30""","48.3187, 5.2095"
"""B14""=>""50""","48.6482, 6.2084"
"""B14""=>""90"", ""M3a""=>""1""","48.4197, 6.2308"
"""B14""=>""90"", ""M9z""=>""rappel""","48.7547, 4.7138"
"""B14""=>""90"", ""M9z""=>""rappel""","48.7580, 4.7487"
"""B33""=>""30""","48.3185, 5.2097"
"""B14""=>""90"", ""M9z""=>""rappel""","48.7609, 4.7802"
"""B14""=>""70""","48.7503, 7.3392"
"""B14""=>""90""","48.3173, 5.2103"
"""B33""=>""70""","48.7505, 7.3412"
"""EB20""=>NULL","49.2455, 4.2105"
"""B14""=>""30""","48.3175, 5.2103"
"""EB20""=>NULL","47.8170, 7.5414"
"""EB10""=>NULL","48.0753, 5.4378"
"""B14""=>""70""","48.3160, 5.2140"
"""EB20""=>NULL","49.3191, 5.9436"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7141, 3.4909"
"""EB20""=>NULL","48.0752, 5.4379"
"""B14""=>""50"", ""M3a""=>""1""","49.4392, 5.9145"
"""B33""=>""30""","48.0708, 4.4780"
"""B14""=>""70"", ""M9z""=>""rappel""","48.5393, 5.8109"
"""EB20""=>NULL","47.6545, 7.1596"
"""EB20""=>NULL","49.2442, 5.8975"
"""B33""=>""70""","49.1897, 5.9028"
"""B14""=>""70""","48.5284, 5.2767"
"""B14""=>""30""","49.2760, 6.2334"
"""EB20""=>NULL","48.0414, 5.2465"
"""B14""=>""40"", ""M4g""=>NULL","48.6946, 4.5952"
"""EB10""=>NULL","48.7622, 4.8031"
"""EB10""=>NULL","49.2454, 5.8985"
"""B14""=>""10""","47.8291, 7.1846"
"""EB10""=>NULL","49.1443, 5.8347"
"""EB10""=>NULL","48.9708, 4.2996"
"""B14""=>""90""","49.5506, 5.1584"
"""EB10""=>NULL","48.7631, 4.8096"
"""EB10""=>NULL","49.2414, 4.0807"
"""B14""=>""30"", ""M4f""=>""7,5t""","48.4354, 4.7265"
"""EB10""=>NULL","48.7669, 4.8270"
"""EB10""=>NULL","49.2325, 5.8917"
"""EB10""=>NULL","49.2389, 5.8927"
"""B14""=>""30""","47.9782, 5.4993"
"""B14""=>""90""","48.7633, 4.8110"
"""B14""=>""90""","48.8182, 4.2420"
"""B14""=>""70""","48.4321, 4.7093"
"""B14""=>""30""","48.4744, 6.2970"
"""EB10""=>""AGGLO""","48.4011, 4.5402"
"""B14""=>""70""","48.4102, 4.5687"
"""EB10""=>NULL","48.5271, 5.9030"
"""B14""=>""90"", ""M9z""=>""rappel""","48.4232, 4.6348"
"""B14""=>""70""","48.2979, 5.0610"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7686, 4.8429"
"""EB20""=>NULL","47.9914, 5.2775"
"""B14""=>""70"", ""M9z""=>""rappel""","48.4010, 4.5400"
"""B33""=>""70""","47.6938, 7.5072"
"""B14""=>""70"", ""M9z""=>""rappel""","48.4027, 4.5438"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2453, 4.5587"
"""C207""=>NULL","49.8452, 4.5150"
"""B14""=>""30""","49.2567, 4.7600"
"""M1""=>""150 m"", ""B14""=>""70""","49.2228, 4.5447"
"""B14""=>""70""","49.2433, 4.0310"
"""B14""=>""70""","49.7320, 4.7203"
"""EB10""=>NULL","47.9902, 3.9916"
"""B14""=>""30""","48.2832, 4.0849"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7710, 4.8530"
"""B33""=>""30""","48.0724, 4.2082"
"""B14""=>""70""","47.9914, 5.2775"
"""B14""=>""70"", ""M9z""=>""rappel""","48.7735, 4.8657"
"""M2""=>""100 m"", ""B14""=>""30""","49.5198, 5.3678"
"""B14""=>""70""","48.7747, 4.8716"
"""B14""=>""90""","48.7745, 4.8718"
"""EB10""=>NULL","48.0337, 5.3547"
"""B14""=>""50""","48.8443, 7.5443"
"""B14""=>""90""","48.7799, 4.8993"
"""B14""=>""70""","49.2311, 4.0444"
"""EB10""=>NULL","48.7842, 4.9270"
"""B33""=>""70""","49.4093, 5.9320"
"""EB10""=>NULL","48.9123, 6.9128"
"""B14""=>""90""","49.0761, 6.2397"
"""EB20""=>NULL","47.9787, 5.2032"
"""EB20""=>NULL","48.7842, 4.9270"
"""B14""=>""30""","48.3057, 5.2533"
"""B33""=>""30""","48.3056, 5.2532"
"""EB10""=>NULL","48.8714, 7.2710"
"""B14""=>""50""","48.2695, 7.4235"
"""B14""=>""50""","48.3145, 7.7150"
"""B14""=>""80""","49.2952, 3.7828"
"""C107""=>NULL","48.8275, 7.7606"
"""B14""=>""90""","48.9713, 8.1520"
"""EB10""=>NULL","48.9945, 6.4297"
"""B14""=>""70""","47.5778, 7.4747"
"""EB20""=>NULL","47.9993, 5.2654"
"""B14""=>""90""","48.7931, 4.9606"
"""B14""=>""90"", ""M3a""=>""1""","49.3176, 4.1540"
"""B14""=>""70""","48.0880, 5.7622"
"""B14""=>""70"", ""M4f""=>""3.5t""","49.5246, 5.3647"
"""B14""=>""30""","49.4191, 5.9377"
"""EB10""=>NULL","48.9327, 7.3474"
"""B14""=>""110""","49.4114, 5.9200"
"""EB10""=>NULL","48.0319, 4.0191"
"""B14""=>""90""","48.7983, 4.9887"
"""B14""=>""110""","49.4115, 5.9201"
"""B14""=>""30""","48.0423, 5.2499"
"""B14""=>""70""","47.8826, 7.2512"
"""B14""=>""90""","49.0761, 6.2398"
"""B14""=>""30"", ""M4g""=>NULL","48.1491, 4.2980"
"""B14""=>""40""","49.0285, 7.9625"
"""B14""=>""50""","48.1566, 7.5855"
"""EB10""=>NULL","47.6188, 7.2230"
"""B14""=>""90""","48.7990, 4.9994"
"""EB10""=>NULL","48.1491, 4.2980"
"""EB10""=>NULL","48.5756, 6.1826"
"""B14""=>""70""","48.6070, 7.6383"
"""EB10""=>NULL","49.0114, 6.1591"
"""B14""=>""70""","48.3039, 4.0994"
"""EB10""=>NULL","49.1092, 6.3799"
"""B14""=>""30""","47.9481, 5.0099"
"""EB20""=>NULL","49.6718, 4.1590"
"""B14""=>""30""","48.0838, 5.1350"
"""B14""=>""30""","48.3670, 5.1484"
"""B14""=>""70""","48.3624, 6.2626"
"""B14""=>""30""","47.9482, 5.0141"
"""B14""=>""30""","47.8693, 5.3325"
"""C107""=>NULL","49.1574, 6.9625"
"""B14""=>""30""","48.8030, 5.0244"
"""B33""=>""30""","48.8032, 5.0228"
"""B33""=>""30""","48.8029, 5.0243"
"""EB20""=>NULL","49.2444, 5.8174"
"""EB20""=>NULL","48.5253, 6.1692"
"""B14""=>""70""","48.0990, 5.2337"
"""EB10""=>NULL","49.2444, 5.8174"
"""EB20""=>NULL","49.0128, 5.6898"
"""B14""=>""30""","49.4918, 5.8723"
"""EB10""=>NULL","48.7797, 5.1842"
"""B14""=>""90"", ""M3a""=>""1""","49.0515, 4.2937"
"""B33""=>""70""","47.6677, 7.5089"
"""EB10""=>NULL","48.6089, 5.4033"
"""EB10""=>NULL","48.5516, 5.4742"
"""C107""=>NULL","48.6915, 5.6145"
"""B14""=>""50"", ""M3a""=>""1""","48.8273, 7.7574"
"""B14""=>""50""","48.1431, 6.7916"
"""B14""=>""90"", ""M3a""=>""1""","48.8586, 4.4892"
"""B14""=>""90"", ""M3a""=>""1""","49.9384, 4.5339"
"""B14""=>""50"", ""M9z""=>""rappel""","48.0671, 4.1299"
"""B14""=>""50""","47.7431, 7.3646"
"""EB20""=>NULL","48.0223, 7.4078"
"""B14""=>""30""","49.3462, 6.3046"
"""B14""=>""50"", ""M9z""=>""rappel""","47.9685, 7.3834"
"""B14""=>""70""","49.2819, 4.1110"
"""B14""=>""50""","47.9015, 7.2242"
"""B14""=>""30""","49.8854, 4.7407"
"""EB10""=>NULL","47.8134, 7.5050"
"""B14""=>""90""","48.6671, 5.6133"
"""B14""=>""30""","49.3652, 6.2896"
"""B14""=>""70""","49.4350, 6.2141"
"""B14""=>""110""","49.0305, 6.6045"
"""EB10""=>NULL","48.7453, 6.1971"
"""EB10""=>NULL","48.1199, 5.3525"
"""EB10""=>""AGGLO""","48.5671, 5.4631"
"""B14""=>""50""","49.3636, 6.1102"
"""B33""=>""30""","48.8041, 5.0340"
"""B14""=>""30""","48.2441, 5.3078"
"""EB10""=>NULL","48.2058, 5.1837"
"""EB10""=>NULL","48.4590, 5.1380"
"""EB10""=>NULL","47.9755, 7.3940"
"""B33""=>""30""","48.8037, 5.0326"
"""B14""=>""90""","48.8007, 5.0601"
"""B14""=>""30""","49.1047, 6.7129"
"""EB20""=>NULL","47.9755, 7.3940"
"""EB10""=>NULL","48.8042, 5.0339"
"""B14""=>""30""","48.8042, 5.0339"
"""EB10""=>NULL","49.3634, 6.1102"
"""EB10""=>NULL","47.6213, 7.1075"
"""EB10""=>NULL","48.8051, 7.3922"
"""EB20""=>NULL","47.9454, 7.4654"
"""C207""=>NULL","49.3637, 6.1093"
"""EB10""=>NULL","48.5795, 5.0333"
"""EB10""=>NULL","48.0787, 5.1456"
"""B14""=>""50""","48.7173, 7.0464"
"""B14""=>""50"", ""M9z""=>""rappel""","48.8228, 6.6971"
"""B31""=>NULL","48.7183, 7.0423"
"""B14""=>""50""","48.7179, 7.0423"
"""M2""=>""1000m"", ""B14""=>""70""","48.8358, 6.4751"
"""B14""=>""30""","48.9032, 6.7626"
"""B33""=>""30""","49.1472, 6.8137"
"""B14""=>""70""","48.9284, 7.1981"
"""EB20""=>NULL","48.6495, 4.9540"
"""B14""=>""70""","48.1860, 6.7481"
"""EB10""=>NULL","49.1302, 6.2775"
"""EB10""=>NULL","48.5839, 7.6360"
"""B14""=>""40""","48.5839, 7.6360"
"""B14""=>""50""","49.1302, 6.2775"
"""B14""=>""80""","48.7014, 7.3754"
"""B33""=>""30""","49.1466, 6.8123"
"""B14""=>""70""","47.6977, 7.5053"
"""B14""=>""50""","47.6134, 7.5722"
"""B14""=>""90""","48.5230, 7.6433"
"""B14""=>""90""","48.5229, 7.6434"
"""C107""=>NULL","47.8912, 7.2483"
"""B14""=>""30""","47.9547, 5.7427"
"""B31""=>NULL","48.0693, 5.1476"
"""M1""=>""200 m"", ""B14""=>""50""","48.7040, 6.2699"
"""B14""=>""90""","48.5420, 7.7226"
"""B14""=>""40""","48.2500, 7.4352"
"""B14""=>""30""","49.3352, 6.3187"
"""B14""=>""90""","48.5421, 7.7224"
"""EB20""=>NULL","48.4192, 7.1779"
"""EB20""=>""AGGLO""","48.4192, 7.1780"
"""EB20""=>NULL","48.5375, 7.4352"
"""B14""=>""30"", ""M3a""=>""droite""","48.6467, 6.1413"
"""B14""=>""30""","48.5387, 5.1048"
"""B14""=>""30""","49.3438, 6.3092"
