code,coords
"""B14""=>""70""","49.4029, 5.9260"
"""EB20""=>NULL","48.2376, 4.7693"
"""B14""=>""30""","49.3525, 6.4637"
"""B14""=>""50"", ""M4G""=>NULL","48.4215, 5.5261"
"""EB10""=>NULL","48.6808, 7.1294"
"""EB10""=>NULL","48.7113, 7.5296"
"""EB10""=>NULL","49.0782, 7.0815"
"""B14""=>""50""","48.7136, 4.9457"
"""B14""=>""30""","48.7429, 7.0396"
"""EB10""=>NULL","49.0728, 6.5614"
"""B14""=>""70""","49.0498, 7.5916"
"""EB10""=>NULL","48.7154, 4.9469"
"""EB20""=>NULL","48.6831, 7.2227"
"""B14""=>""30""","49.1378, 7.0022"
"""EB10""=>NULL","48.8644, 6.3931"
"""EB10""=>""AGGLO""","50.0163, 4.7252"
"""EB20""=>NULL","48.9974, 7.2092"
"""EB20""=>NULL","47.6639, 7.2659"
"""EB10""=>NULL","48.9710, 6.2142"
"""B14""=>""30""","48.7154, 4.9469"
"""EB10""=>NULL","48.8228, 6.8022"
"""EB10""=>NULL","48.7899, 6.4929"
"""B14""=>""90"", ""M9z""=>""rappel""","49.0734, 3.8139"
"""EB20""=>NULL","48.5697, 5.0539"
"""EB20""=>NULL","49.2523, 6.5683"
"""B14""=>""30""","49.3471, 6.1403"
"""B14""=>""30""","49.2440, 6.0784"
"""EB20""=>NULL","49.3769, 6.5110"
"""EB10""=>NULL","49.0534, 6.6178"
"""B14""=>""30""","49.0585, 6.1570"
"""EB10""=>NULL","48.8664, 6.3912"
"""EB10""=>NULL","49.0009, 7.3833"
"""EB10""=>NULL","48.7770, 6.7025"
"""M1""=>""150 m"", ""B14""=>""50""","48.6706, 6.9684"
"""B14""=>""70"", ""M9z""=>""rappel""","49.2808, 6.1203"
"""B14""=>""70""","48.8560, 6.8818"
"""EB10""=>NULL","48.6468, 6.8926"
"""EB10""=>NULL","49.2281, 6.5697"
"""EB20""=>NULL","47.6219, 7.2923"
"""B14""=>""50""","49.0754, 7.3413"
"""EB20""=>NULL","49.0493, 6.8355"
"""EB10""=>NULL","49.3754, 6.3328"
"""EB10""=>NULL","49.2420, 6.4657"
"""EB10""=>NULL","49.1383, 7.1249"
"""B14""=>""70""","48.7129, 4.9453"
"""EB10""=>NULL","48.8431, 7.0257"
"""B14""=>""30""","49.4149, 6.3254"
"""B14""=>""40""","48.6399, 7.0145"
"""B14""=>""30""","49.0047, 6.4364"
"""B14""=>""70""","48.6645, 6.7576"
"""EB10""=>NULL","49.1033, 6.1098"
"""B14""=>""90""","48.6653, 4.9800"
"""C107""=>NULL","47.9393, 7.2871"
"""B14""=>""70""","49.1648, 6.0950"
"""EB10""=>NULL","49.0700, 4.2903"
"""B14""=>""50"", ""M9z""=>""rappel""","48.6534, 6.8236"
"""B14""=>""70""","48.6062, 7.0188"
"""EB20""=>NULL","48.1095, 7.4387"
"""B14""=>""30""","49.0393, 6.1922"
"""EB10""=>NULL","48.7599, 6.9751"
"""EB20""=>NULL","49.0775, 6.4184"
"""B33""=>""70""","48.7491, 7.0366"
"""EB20""=>NULL","49.1535, 6.4374"
"""B14""=>""70""","49.0829, 6.1108"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7682, 7.2635"
"""EB10""=>NULL","48.9178, 6.6163"
"""EB20""=>NULL","48.9537, 6.1406"
"""B14""=>""30""","48.7672, 7.2994"
"""B33""=>""70""","49.0864, 7.1054"
"""B14""=>""50""","49.0700, 4.2903"
"""EB20""=>NULL","48.9983, 6.6272"
"""EB20""=>NULL","48.8970, 6.6272"
"""B14""=>""45""","49.4230, 6.3009"
"""B33""=>""30""","49.1709, 6.8749"
"""B14""=>""30""","49.3435, 6.0889"
"""EB10""=>NULL","48.9037, 6.5267"
"""B14""=>""70""","48.6199, 6.9760"
"""EB10""=>NULL","48.7386, 6.6621"
"""EB10""=>NULL","49.3044, 6.0535"
"""B33""=>""30""","49.0903, 7.0963"
"""EB10""=>NULL","49.1563, 6.2566"
"""B33""=>""70""","49.3020, 6.4064"
"""M2""=>""100 m"", ""B14""=>""30""","49.2617, 6.1570"
"""EB20""=>NULL","48.5691, 7.0969"
"""B14""=>""30""","49.1867, 6.3321"
"""B14""=>""30""","48.7311, 7.0644"
"""B14""=>""30"", ""M4g""=>NULL","49.1466, 7.0434"
"""B14""=>""30"", ""M9z""=>""rappel""","49.1010, 6.7813"
"""EB10""=>NULL","48.2900, 4.5149"
"""B14""=>""70""","49.0108, 7.1725"
"""B14""=>""30"", ""M9z""=>""rappel""","48.7379, 7.0720"
"""B14""=>""30""","49.1664, 6.8734"
"""B14""=>""70""","48.7329, 4.2024"
"""EB20""=>NULL","48.6903, 7.0509"
"""EB10""=>NULL","48.9174, 6.9016"
"""B33""=>""30""","49.1883, 6.4613"
"""B14""=>""30""","49.3183, 6.4243"
"""EB20""=>NULL","48.8054, 6.3533"
"""EB20""=>NULL","48.6713, 7.1019"
"""EB10""=>NULL","48.9864, 7.5555"
"""EB20""=>NULL","48.6124, 7.0594"
"""EB20""=>NULL","49.4089, 5.9861"
"""B14""=>""30""","49.1544, 6.9581"
"""B14""=>""30""","48.7997, 7.2209"
"""EB10""=>NULL","48.8345, 7.0224"
"""B14""=>""30""","49.3041, 6.0536"
"""EB10""=>NULL","48.6366, 7.0143"
"""B33""=>""70""","48.8071, 7.0147"
"""B14""=>""30""","48.7290, 7.2494"
"""B14""=>""70"", ""M9z""=>""rappel""","49.1522, 6.2486"
"""B14""=>""30"", ""M9z""=>""rappel""","49.0821, 6.6972"
"""B14""=>""50"", ""M9z""=>""rappel""","49.1885, 6.4620"
"""B14""=>""30""","48.7881, 6.6050"
